DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
4846410,Woodson Independent School District,Public,Woodson,TX,148.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,1501,0
4846410,Woodson Independent School District,Public,Woodson,TX,148.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,18010,10
4846440,Woodville Independent School District,Public,Woodville,TX,1271.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,51353,24
4846440,Woodville Independent School District,Public,Woodville,TX,1271.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,21672,1
4846470,Wortham Independent School District,Public,Wortham,TX,580.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,19717,7
4846470,Wortham Independent School District,Public,Wortham,TX,580.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,23437,8
4846470,Wortham Independent School District,Public,Wortham,TX,580.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,50113,18
4846530,Wylie Independent School District,Public,Wylie,TX,16053.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Not required,Yes,Yes,Never closed,Yes,138034,54
4846590,Yantis Independent School District,Public,Yantis,TX,402.0,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,37084,41
4846590,Yantis Independent School District,Public,Yantis,TX,402.0,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,45539,31
4846620,Yoakum Independent School District,Public,Yoakum,TX,1666.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Unknown,Never closed,Yes,20160,19
4846620,Yoakum Independent School District,Public,Yoakum,TX,1666.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Unknown,Never closed,Yes,20837,8
4846620,Yoakum Independent School District,Public,Yoakum,TX,1666.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Unknown,Never closed,Yes,20154,8
4846650,Yorktown Independent School District,Public,Yorktown,TX,545.0,Unknown,Yes,Yes,Yes,Unknown,Required for all staff,Unknown,Unknown,Unknown,Unknown,Unknown,20160,19
4846770,Zephyr Independent School District,Public,Zephyr,TX,333.0,Other,Yes,No,Yes,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,4873,4
5103900,Washington County Public Schools,Public,Abingdon,VA,7467.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,53740,20
5100120,Alexandria City Public Schools,Public,Alexandria,VA,15075.0,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,159428,14
5100360,Bedford County Public Schools,Public,Bedford,VA,10408.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,391911,132
5102250,Loudoun County Public Schools,Public,Broadlands,VA,82357.0,Online Only,No,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Closed 6-14 days,Yes,413538,18
5100540,Buckingham County Public Schools,Public,Buckingham,VA,2166.0,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,7881,1
5100750,Charlotte County Public Schools,Public,Charlotte Court House,VA,1958.0,Online Only,No,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,12506,19
5100840,Chesterfield County Public Schools,Public,Chesterfield,VA,62447.0,Hybrid,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,16545,1
5103600,Southampton County Public Schools,Public,Courtland,VA,2894.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,17631,26
5101050,Culpeper County Public Schools,Public,Culpeper,VA,8471.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,6320,0
5101290,Falls Church City Public Schools,Public,Falls Church,VA,2531.0,Online Only,Unknown,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,14617,0
5100420,Botetourt County Public Schools,Public,Fincastle,VA,5218.0,Hybrid,No,Unknown,Pending,Yes,Pending,Pending,Pending,Pending,Pending,Pending,24994,8
5101410,Franklin City Public Schools,Public,Franklin,VA,1126.0,Online Only,No,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,7967,9
5103640,Spotsylvania County Public Schools,Public,Fredericksburg,VA,25543.0,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,136215,18
5101560,Galax City Public Schools,Public,Galax,VA,1346.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,No,Never closed,Yes,6347,2
5100510,Buchanan County Public Schools,Public,Grundy,VA,3274.0,Hybrid,No,Yes,No,No,Pending,Pending,Pending,Pending,Pending,Pending,10281,2
5101860,Harrisonburg City Public Schools,Public,Harrisonburg,VA,6459.0,Online Only,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,53016,3
5103390,Rockingham County Public Schools,Public,Harrisonburg,VA,13027.0,Online Only,Unknown,Yes,Yes,No,Pending,Pending,Pending,Pending,Pending,Unknown,81948,11
5102120,King William County Public Schools,Public,King William,VA,2291.0,Hybrid,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,17148,3
5100480,Brunswick County Public Schools,Public,Lawrenceville,VA,1971.0,Online Only,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,122437,35
5102730,Northumberland County Public Schools,Public,Lottsburg,VA,1367.0,Hybrid,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,12095,3
5102850,Page County Public Schools,Public,Luray,VA,3717.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,23902,6
5102710,Northampton County Public Schools,Public,Machipongo,VA,1641.0,Hybrid,Unknown,Pending,Pending,Pending,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11710,2
5102370,Madison County Public Schools,Public,Madison,VA,1757.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,13261,1
5102360,Manassas City Public Schools,Public,Manassas,VA,8135.0,Online Only,Unknown,No,Yes,Yes,Required for all staff,Not required,No,No,Never closed,No,41085,4
5103130,Prince William County Public Schools,Public,Manassas,VA,96078.0,Online Only,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,470335,44
5102400,Martinsville City Public Schools,Public,Martinsville,VA,2178.0,Online Only,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12554,18
5103980,Westmoreland County Public Schools,Public,Montross,VA,1725.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,18015,2
5102820,Orange County Public Schools,Public,Orange,VA,4938.0,Hybrid,No,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,37051,3
5102910,Petersburg City Public Schools,Public,Petersburg,VA,4375.0,Hybrid,No,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,31346,9
5102980,Poquoson City Public Schools,Public,Poquoson,VA,2186.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,12271,2
5103030,Powhatan County Public Schools,Public,Powhatan,VA,4065.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,29652,2
5103090,Prince George County Public Schools,Public,Prince George,VA,7189.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,38353,5
5103330,Roanoke County Public Schools,Public,Roanoke,VA,15388.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,94186,23
5100600,Campbell County Public Schools,Public,Rustburg,VA,8903.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,127827,81
5102490,Middlesex County Public Schools,Public,Saluda,VA,1261.0,Hybrid,Unknown,Yes,Yes,Yes,Not required,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,10582,10
5103660,Stafford County Public Schools,Public,Stafford,VA,29492.0,Online Only,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,No,152882,12
5100300,Augusta County Public Schools,Public,Verona,VA,11438.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,64072,23
5103840,Virginia Beach City Public Schools,Public,Virginia Beach,VA,78644.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Unknown,Yes,449974,42
5103210,Rappahannock County Public Schools,Public,Washington,VA,811.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,7370,0
5102160,Lancaster County Public Schools,Public,Weems,VA,1201.0,Hybrid,Yes,Unknown,Yes,Yes,Unknown,Required for high school students only,Unknown,Unknown,Unknown,Yes,10603,1
5104080,Wise County Public Schools,Public,Wise,VA,6230.0,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Not required,No,No,Never closed,Yes,37383,12
5104110,Wythe County Public Schools,Public,Wytheville,VA,4414.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,28684,4
5003240,Colchester School District,Public,Colchester,VT,2315.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,265206,48
5000385,Two Rivers Supervisory Union,Public,Ludlow,VT,1051.0,Hybrid,Yes,Unknown,Yes,Pending,Required for all staff,Pending,Pending,Pending,Pending,Yes,14551,13
5000385,Two Rivers Supervisory Union,Public,Ludlow,VT,1051.0,Hybrid,Yes,Unknown,Yes,Pending,Required for all staff,Pending,Pending,Pending,Pending,Yes,23457,7
5099931,North Country Supervisory Union,Public,Newport,VT,2886.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,22320,5
5000393,Mill River Unified School District,Public,North Clarendon,VT,996.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,14551,13
5000400,Orange Southwest Unified School District,Public,Randolph,VT,1056.0,Hybrid,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,10118,13
5007050,Rutland City School District,Public,Rutland,VT,2707.0,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,14551,13
5099930,White River Valley Supervisory Union,Public,South Royalton,VT,1385.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,10118,13
5099930,White River Valley Supervisory Union,Public,South Royalton,VT,1385.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,23457,7
5099906,Bennington Rutland Supervisory Union,Public,Sunderland,VT,1175.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,14551,13
5099906,Bennington Rutland Supervisory Union,Public,Sunderland,VT,1175.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,7956,10
5099906,Bennington Rutland Supervisory Union,Public,Sunderland,VT,1175.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,23457,7
5004590,Hartford School District,Public,White River Junction,VT,1951.0,Hybrid,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,23457,7
-1,Central Vermont Supervisory Union,Public,Williamstown,VT,1331.0,On Premises,Yes,Yes,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,10118,13
-1,Central Vermont Supervisory Union,Public,Williamstown,VT,1331.0,On Premises,Yes,Yes,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,24919,13
5500120,Albany School District,Public,Albany,WI,348.0,Hybrid,Unknown,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,163354,36
5500180,Alma School District,Public,Alma,WI,255.0,Unknown,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Pending,Unknown,63257,25
5500240,Almond-Bancroft School District,Public,Almond,WI,459.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,24443,5
5500390,Appleton Area School District,Public,Appleton,WI,15574.0,Online Only,No,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,171907,73
5500420,Arcadia School District,Public,Arcadia,WI,1223.0,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,29649,6
5500600,Auburndale School District,Public,Auburndale,WI,911.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,72999,16
5500720,Baldwin-Woodville Area School District,Public,Baldwin,WI,1413.0,Hybrid,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,90687,11
5501110,Benton School District,Public,Benton,WI,254.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,99386,64
5501140,Berlin Area School District,Public,Berlin,WI,1678.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,24443,5
5501140,Berlin Area School District,Public,Berlin,WI,1678.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,171907,73
5500016,Blair-Taylor School District,Public,Blair,WI,560.0,On Premises,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,29649,6
5501470,Bonduel School District,Public,Bonduel,WI,860.0,On Premises,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,40899,43
5501560,Bowler School District,Public,Bowler,WI,353.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Not required,Yes,Yes,Closed indefinitely,Yes,40899,43
5501590,Boyceville Community School District,Public,Boyceville,WI,766.0,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,No,Yes,Never closed,Yes,90687,11
5501890,Burlington Area School District,Public,Burlington,WI,3149.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,No,Never closed,Yes,196311,50
5501890,Burlington Area School District,Public,Burlington,WI,3149.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,No,Never closed,Yes,103868,14
5502160,Campbellsport School District,Public,Campbellsport,WI,1310.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,115340,39
5502340,Cashton School District,Public,Cashton,WI,581.0,On Premises,Yes,Yes,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,30822,7
5516470,Weston School District,Public,Cazenovia,WI,261.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,17252,6
5516470,Weston School District,Public,Cazenovia,WI,261.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,64442,8
5502460,Cedarburg School District,Public,Cedarburg,WI,3227.0,Hybrid,Yes,Yes,No,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,136034,34
5500061,Chetek-Weyerhaeuser Area School District,Public,Chetek,WI,1057.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,14178,4
5503240,De Soto Area School District,Public,De Soto,WI,498.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,30822,7
5503640,Delavan-Darien School District,Public,Delavan,WI,2240.0,Hybrid,Unknown,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,163354,36
5503640,Delavan-Darien School District,Public,Delavan,WI,2240.0,Hybrid,Unknown,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,103868,14
